Genero	CRC01	CRC02	CRC03	CRC04	CRC05	CRC06	CRC07	CRC08	CRC09	CRC10	CRC11	CRC12	CRC13	CRC15	CRC16	CRC17	CRC18	CRC19	CRC20	CRC21	CRC22	CRC23	CRC24	CRC25	CRC26	CRC27	CRC28	CRC29	CRC30	CRC31	CRC32	CRC33	CRC34
Sutterella	8.82E-06	0	0	0	0	0	0	0	0	0	0.000356917	0	0	0	0	0	0	0	0	0	0	0	0	0	1.06E-05	0	0	0	0.000133368	0	0	1.38E-05	0
Tannerella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.54E-05
Terrimonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000102957	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Terrisporobacter	0	0	0.009336954	0	0.007918558	0.002771191	0	0.00031339	0	0	0	0	0.000824274	0.00074827	0	0	0.000466147	0	0.00773391	0	0	0	0	0	0	0	0	0	6.99E-05	0	0.000771321	0	0
TM7 phylum sp. oral clone DR034	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000241749	0	0	0	0	0	0	0.000185998	0.002101699	0.000191644	0	0	0	0	0	0	7.23E-05	0	1.38E-05	0
TM7 phylum sp. oral clone FR058	0	0	0	0	0	0	0	0	6.68E-05	0	0	0	0	0	0	0	0	0	0.000236196	0	0	0	0.001324088	0	0	0	0	0	0	0	0	0	0
Treponema 2	0	3.43E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Turicibacter	4.85E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tyzzerella	0.000449716	0	0.007811308	0	0	0	0	0.000430911	0	0	0	0	0	0.008679936	0.000338513	0	0	0.002654267	0	0	0	0	3.48E-05	0	0.000200786	0	0	0	8.89E-05	0	0	0	8.65E-05
Tyzzerella 3	0.000793616	0	0	0	0	0.000400119	0	0	1.54E-05	0	0	0	0	0	0	0	0.001120389	0	0	0	0	0	0	0	0	0	0	0	0.012517544	0	0	0	0
Tyzzerella 4	0.009990741	0.002257904	0	0	0	0	0	0	8.73E-05	0.018378164	0	0	0.004633285	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00021805	0	0	0.001385993	0	0.012928213	0.001954192
UBA1819	0.000418853	0	0	0	0.000670325	0	0.000539342	0	6.16E-05	0	0.005431353	0	0	4.03E-05	0	0.000164736	4.09E-05	0	0	0.001951351	0.001043658	0	0	0	0	0	0.000275432	0	8.89E-05	0	5.93E-05	4.13E-05	0
UC5-1-2E3	0.000105815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
uncultured	0.004664697	0.00188635	0.010313368	0.00222857	0.002490558	0.000503853	0.001382537	0.005862997	0.000169504	0.006668896	0.00190356	0.006613111	0.145532004	0.003257854	0.013519032	0.011471617	0.051995846	0.007587961	0.008503061	0.012355751	0.033500387	0.017497477	0.007439284	0.000458862	0.001822928	0.000100365	0.006633309	0.000715134	0.00273087	0	0	0.002694526	0.001250369
uncultured anaerobic ammonium-oxidizing bacterium	0	0	0.00250206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
uncultured bacterium	0.003641815	0	0.014768254	0	0	0	0	0	0.000323598	0	0	0	0.009761134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
uncultured bacterium oral clone BE109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.66E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0
uncultured bacterium oral clone BS003	0	0	0	0	0	0	0.000934352	0	0	0	0	0	0	0.000408671	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
uncultured Clostridia bacterium	0	0	0	0	3.81E-05	0	0	0	0	0	0	0	0	0	0	0.000119808	0	0	0	0	0	0	0	0	0	0	0	0	6.35E-05	0	0	0	0
uncultured Mollicutes bacterium	0	0.003624079	0	0	0	0	0	0	0	0	0	0	0.013101611	0	0	0	0	0	0	0	0	0.004253438	0	0	0	0	0	0	0	0	0	0.000585767	0
uncultured organism	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.24E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
uncultured Porphyromonadaceae bacterium	0	0	0	0	0	0	0	0	0	0	0	0.001739825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
uncultured rumen bacterium 4C28d-15	0	4.00E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
uncultured Thermoanaerobacterales bacterium	0	0	0	0	0	0	0	9.14E-05	0	0	0	0	3.47E-05	0	0	0	0	0	0	0	0	0	0	0	2.64E-05	0	0	0	0.000184175	0	0.000391594	0	0
Veillonella	0	0	3.05E-05	0.000731384	0	0	0	0	6.68E-05	0	1.03E-05	0	0	4.03E-05	0	0	0	0	0	0	0	0	6.97E-05	0	0	0	0	0	1.27E-05	0	0	0.009103502	0
W5053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001143155	0	0	0	0
Williamsia	0	0	0.000198334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
